name,_wkshell,_wks_percentile_bucket
AT5G55100,61.0,45.0
AT1G22840,13.0,20.0
AT5G60390,61.0,45.0
AT2G15620,217.0,85.0
AT5G62190,61.0,45.0
AT3G52200,142.0,65.0
AT5G63530,61.0,45.0
AT1G12360,217.0,80.0
AT5G66750,3.0,5.0
AT2G33120,137.0,65.0
AT5G60100,4.0,5.0
AT3G09740,207.0,70.0
AT5G65950,17.0,20.0
AT4G18060,193.0,70.0
AT5G66030,,
AT4G24190,247.0,90.0
AT1G05385,8.0,15.0
AT4G32070,217.0,85.0
ATCG00020,137.0,65.0
AT4G32760,128.0,65.0
ATCG00270,120.0,55.0
AT4G34050,67.0,45.0
ATCG00280,177.0,70.0
AT5G13530,30.0,30.0
ATCG00350,150.0,65.0
AT1G08780,56.0,40.0
ATCG00120,217.0,80.0
AT1G29990,40.0,35.0
ATCG00470,217.0,85.0
AT2G07340,56.0,40.0
ATCG00480,217.0,85.0
